party_id,country,abbrev,name,name_english,family
11110,Sweden,MP,Miljöpartiet de Gröna,Green Ecology Party,green
11220,Sweden,V,Vänsterpartiet,Left Party,far-left
11320,Sweden,SAP,Socialdemokratiska Arbetareparti,Social Democratic Labour Party,unknown
11420,Sweden,L,Liberalerna,Liberals,liberal
11520,Sweden,Kd,Kristdemokraterna,Christian Democrats,centre-right
11620,Sweden,MSP,Moderata Samlingspartiet,Moderate Coalition Party,unknown
11710,Sweden,SD,Sverigedemokraterna,Sweden Democrats,far-right
11810,Sweden,CP,Centerpartiet,Centre Party,centre
13001,Denmark,NA,Liberal Alliance,Liberal Alliance,liberal
13110,Denmark,NA,Alternativet,Alternativ,centre-right
13229,Denmark,EL,Enhedslisten - De Rød-Grønne,Red-Green Unity List,far-left
13230,Denmark,SF,Socialistisk Folkeparti,Socialist People’s Party,centre-left
13320,Denmark,SD,Socialdemokratiet,Social Democratic Party,unknown
13410,Denmark,RV,Det Radikale Venstre,Danish Social-Liberal Party,liberal
13420,Denmark,V,Venstre,Liberals,liberal
13620,Denmark,KF,Konservative Folkeparti,Conservative People’s Party,centre-right
13720,Denmark,DF,Dansk Folkeparti,Danish People’s Party,far-right
13730,Denmark,NA,Nye Borgerlige,The New Right,unknown
14110,Finland,VL,Vihreä Liitto,Green Union,green
14223,Finland,VAS,Vasemmistoliitto,Left Wing Alliance,unknown
14320,Finland,SSDP,Suomen Sosialidemokraattinen Puolue,Finnish Social Democrats,unknown
14440,Finland,NA,Liike Nyt,Movement Now,unknown
14520,Finland,KD,Suomen Kristillisdemokraatit,Christian Democrats in Finland,centre-right
14620,Finland,KK,Kansallinen Kokoomus,National Coalition,unknown
14810,Finland,SK,Suomen Keskusta,Finnish Centre,unknown
14820,Finland,PS,Perussuomalaiset,True Finns,far-right
14901,Finland,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,unknown
15111,Iceland,VGF,Vinstrihreyfing - Grænt Framboð,Left Green Movement,far-left
15328,Iceland,S,Samfylkingin - Jafnaðarmannaflokkur Íslands,The Alliance - Social Democratic Party of Iceland,unknown
15450,Iceland,NA,Viðreisn,Reform Party,liberal
15620,Iceland,Sj,Sjálfstæðisflokkurinn,Independence Party,centre-right
15630,Iceland,NA,Miðflokkurinn,Centre Party,unknown
15810,Iceland,F,Framsóknarflokkurinn,Progressive Party,centre
15952,Iceland,Þ,Pírataflokkurinn,Pirate Party,other
15953,Iceland,NA,Flokkur fólksins,People’s Party,unknown
21111,Belgium,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,green
21112,Belgium,groen!,Groen!,Green!,green
21230,Belgium,PTB/PVDA,Partij van de Arbeid van België/Parti du Travail de Belgique,Workers' Party of Belgium,far-left
21321,Belgium,NA,Vooruit,Onward,centre-left
21322,Belgium,PS,Parti Socialiste,Francophone Socialist Party,centre-left
21421,Belgium,openVLD,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,liberal
21426,Belgium,MR,Mouvement Réformateur,Reform Movement,liberal
21521,Belgium,CD&V,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,centre-right
21522,Belgium,LE,Les Engagés,The Committed Ones,centre-right
21912,Belgium,DéFI,Démocrate fédéraliste indépendant,"Democratic, Federalist, Independent",liberal
21916,Belgium,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,far-right
21917,Belgium,VB,Vlaams Belang,Flemish Interest,far-right
22110,Netherlands,GL,GroenLinks,Green Left,green
22220,Netherlands,SP,Socialistische Partij,Socialist Party,unknown
22235,Netherlands,Volt,Volt Nederland,Volt Netherlands,liberal
22240,Netherlands,NA,BIJ1,Together,unknown
22320,Netherlands,PvdA,Partij van de Arbeid,Labour Party,centre-left
22321,Netherlands,DENK,DENK,DENK,centre-left
22330,Netherlands,D’66,Democraten‘66,Democrats‘66,liberal
22420,Netherlands,VVD,Volkspartij voor Vrijheid en Democratie,People’s Party for Freedom and Democracy,centre-right
22521,Netherlands,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,centre-right
22526,Netherlands,CU,ChristenUnie,Christian Union,unknown
22722,Netherlands,PVV,Partij voor de Vrijheid,Party of Freedom,far-right
22730,Netherlands,FvD,Forum voor Democratie,Forum for Democracy,far-right
22731,Netherlands,JA21,Juiste Antwoord 21,Right Answer 21,far-right
22820,Netherlands,BBB,BoerBurgerBewegning,Farmer-Citizen Movement,centre-right
22951,Netherlands,PvdD,Partij voor de Dieren,Party for the Animals,animalist
22952,Netherlands,SGP,Staatskundig Gereformeerde Partij,Reformed Political Party,unknown
22953,Netherlands,50PLUS,50Plus,50Plus,unknown
31022,France,NUPES,Nouvelle Union populaire écologique et sociale,New Ecologic and Social People's Union,centre-left
31041,France,EPR,Ensemble pour la République,Together for the Republic,liberal
31061,France,UDC,Union de la droite et du centre,Union of the Right and Centre,centre-right
31320,France,PS,Parti Socialiste,Socialist Party,centre-left
31425,France,NA,Renaissance,Renaissance,far-right
31430,France,UDI,Union des démocrates et indépendants,Union of Democrats and Independents,centre-right
31440,France,NA,Horizons,Horizons,centre-right
31624,France,MoDem,Mouvement Démocrate,Democratic Movement,centre-right
31720,France,RN,Rassemblement national,National Rally,far-right
32022,Italy,I,Italia Europa Insieme,Italy Europe Together,liberal
32031,Italy,LeU,Liberi e Uguali,Free and Equal,centre-left
32051,Italy,CP,Civica Popolare,Popular Civic List,unknown
32055,Italy,NcL,Noi con l'Italia,Us with Italy,unknown
32090,Italy,SVP-PATT,Coalizione Südtiroler Volkspartei e Partito Autonomista Trentino Tirolese,Coalition of South Tyrolean People’s Party and Trentino Tyrolean Autonomist Party,unknown
32440,Italy,PD,Partito Democratico,Democratic Party,centre-left
32451,Italy,E,Più Europa,More Europe,liberal
32610,Italy,FI,Forza Italia,Go Italy,centre-right
32630,Italy,FDI,Fratelli d'Italia,Brothers of Italy,far-right
32720,Italy,L,Lega,League,far-right
32956,Italy,M5S,MoVimento 5 Stelle,Five Star Movement,other
33021,Spain,NA,Sumar,Unite,centre-left
33095,Spain,EH Bildu,Euskal Herria Bildu,Basque Country Unite,far-left
33096,Spain,NA,En Comú Podem,In Common We Can,unknown
33210,Spain,NA,Podemos,We can,far-left
33220,Spain,IU,Izquierda Unida,United Left,far-left
33230,Spain,NA,Más País-Equo,More Country - Equo,unknown
33320,Spain,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,centre-left
33420,Spain,C's,Ciudadanos - Partido de la Ciudadania,Citizens - Party of the Citizens,unknown
33610,Spain,PP,Partido Popular,People's Party,centre-right
33710,Spain,VOX,Vox,Voice,far-right
33902,Spain,PNV/EAJ,Partido Nacionalista Vasco/Euzko Alderdi Jeltzalea,Basque Nationalist Party,centre-right
33905,Spain,ERC,Esquerra Republicana de Catalunya,Catalan Republican Left,centre-left
33907,Spain,CCa-PNC-NC,Coalición Canaria - Nueva Canarias,Canarian Coalition–New Canaries,centre
33908,Spain,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc,centre-left
33910,Spain,UPN,Unión del Pueblo Navarro,Navarrese People's Union,centre-right
33912,Spain,JxCat,Junts per Catalunya,Together for Catalonia,centre-left
33913,Spain,PRC,Partido Regionalista de Cantabria,Regionalist Party of Cantabria,centre
33914,Spain,NA,Més Compromís,More Commitment,centre-left
33915,Spain,CUP,Cadidatura d'Unitat Popular,Popular Unity Candidacy,far-left
33916,Spain,NA,¡Teruel Existe!,Teruel exists,unknown
34210,Greece,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece,unknown
34212,Greece,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left,far-left
34215,Greece,MeRA25,Μétopo Evropaikís Realistikís Anypakoís,European Realistic Disobedience Front,unknown
34315,Greece,PASOK-KINAL,PASOK – Kínima Allagís,PASOK – Movement for Change,unknown
34511,Greece,ND,Nea Dimokratia,New Democracy,centre-right
34711,Greece,EL,Ellinikí Lýsi,Greek Solution,far-right
34720,Greece,XA,Chrysi Avgi,Golden Dawn,far-right
35110,Portugal,PEV,Partido Ecologista ‘Os Verdes’,Ecologist Party ‘The Greens',green
35120,Portugal,PAN,Pessoas-Animais-Natureza,People-Animals-Nature,green
35130,Portugal,L,LIVRE,Free,green
35211,Portugal,BE,Bloco de Esquerda,Left Bloc,far-left
35220,Portugal,PCP,Partido Comunista Português,Portuguese Communist Party,far-left
35311,Portugal,PS,Partido Socialista,Socialist Party,centre-left
35313,Portugal,PSD,Partido Social Democrata,Social Democratic Party,centre-right
