partyfacts_id,hex
293,#000000
5128,#000000
5300,#000000
8607,#000000
1375,#000000
1013,#000000
4285,#000000
6055,#000000
405,#000000
1660,#000000
4737,#000000
8402,#000000
6160,#000000
4098,#000000
4328,#000000
695,#000000
6795,#000000
4069,#000000
8244,#000000
8523,#000000
8121,#000000
1369,#000000
7125,#000000
6731,#000000
5199,#000000
178,#000000
6368,#000000
2556,#000000
2383,#000000
909,#000000
4709,#000000
2424,#000000
7018,#000000
4631,#000000
2377,#000000
1723,#000000
1832,#000000
7365,#000000
211,#000000
1798,#000000
5802,#000000
3708,#000000
2047,#000000
3236,#000000
458,#000000
725,#000000
8018,#000000
591,#000000
1696,#000000
7877,#000000
2378,#000000
4383,#000000
6961,#000000
4250,#000040
8716,#000080
2379,#000080
3712,#000080
4900,#000080
8625,#000080
1221,#000080
5777,#000080
4460,#000080
8926,#000080
8013,#000080
773,#000080
1664,#000080
5499,#000080
6767,#000080
3,#000080
43,#000080
829,#000088
4218,#000088
2175,#00008B
1817,#00008B
965,#00008B
8647,#00008B
566,#00008B
364,#00008B
2148,#00008B
855,#00008B
4641,#00008B
2465,#00008B
3788,#00008B
7126,#00008B
1599,#00008B
4115,#00008B
1112,#000099
13,#000099
5390,#000099
8278,#000099
3177,#000099
5876,#00009A
7845,#00009F
8821,#00009F
7471,#00009F
8820,#00009F
3824,#0000AA
3128,#0000AA
1199,#0000BF
2265,#0000C0
5514,#0000C8
8042,#0000C8
8419,#0000C8
7331,#0000C8
5890,#0000CC
3849,#0000CC
6198,#0000CD
2461,#0000CD
1473,#0000CD
2313,#0000CD
706,#0000FE
5312,#0000FF
4639,#0000FF
4251,#0000FF
5096,#0000FF
5143,#0000FF
5806,#0000FF
6997,#0000FF
2125,#0000FF
4634,#0000FF
1245,#0000FF
739,#0000FF
3703,#0000FF
5081,#0000FF
1464,#0000FF
4100,#0000FF
1356,#0000FF
6078,#0000FF
4529,#0000FF
937,#0000FF
2557,#0000FF
4407,#0000FF
3636,#0000FF
7099,#0000FF
3148,#0000FF
2443,#0000FF
1116,#0000FF
226,#0000FF
5261,#001854
102,#001978
328,#002156
7565,#002169
637,#002366
6393,#002387
8454,#002780
139,#002782
4795,#002782
4252,#002868
1204,#002883
8456,#002B7F
4334,#002C77
824,#002FA7
1617,#002FA7
718,#0030AA
972,#003153
1657,#003153
8668,#003153
3697,#003296
3202,#0032CA
3751,#003319
8763,#003366
2498,#003366
8283,#003397
3276,#003399
849,#003399
4539,#0033A0
392,#0033CC
932,#0033CC
5955,#003895
482,#0038A9
894,#003990
50,#003C8F
1004,#003F72
1351,#003F87
7150,#004000
2049,#004071
5626,#004080
2358,#0040FC
7544,#00416A
7339,#004451
8566,#00448E
6946,#0047AB
1394,#0047AB
745,#0047AB
4270,#0047AB
6050,#0047AB
1642,#0047AB
22,#0047AB
789,#0047AB
7426,#0047AB
6769,#0047AB
4753,#0047AB
4781,#0047AB
638,#0047AB
5268,#0047AB
5521,#0047AB
4051,#0047AB
4176,#0047AB
536,#004931
1313,#0049A1
300,#004A90
1750,#004A92
2988,#004A99
4883,#004B91
656,#005222
63,#00528C
1709,#00529F
5794,#00529F
4741,#00529F
6036,#00529F
1824,#00529F
8350,#00529F
3277,#0052A1
6561,#0052A7
1468,#005329
7131,#00542E
2419,#00542E
6308,#0054A5
6400,#0054A5
813,#0054A5
8017,#005500
905,#00563F
104,#00563F
1380,#005693
463,#0056A2
495,#00587C
8177,#00599D
6686,#00599D
257,#0059CF
6132,#005AAB
4441,#005AC0
5255,#005BA6
1038,#005BA6
5085,#005C9E
4630,#005CA9
5863,#005F70
1480,#005FAD
5289,#006233
6251,#006233
4094,#0063AF
6781,#0063B6
3763,#006400
762,#006400
2495,#006400
7654,#006542
727,#00654E
254,#00654E
1101,#00654E
982,#0065B7
547,#006600
929,#006600
1219,#006600
2343,#006600
4047,#006600
1743,#006644
1411,#006644
1173,#006666
4410,#0066BB
5832,#0066CC
2356,#0066CC
1595,#0066CC
509,#0066CC
3792,#0066FF
3739,#0066FF
1163,#0067A5
3252,#0067A5
4554,#0067A5
5192,#0067A5
4749,#0067A5
4756,#006803
1412,#006857
2354,#006903
1274,#0069B4
4526,#006A9F
1467,#006B28
5818,#006B31
2312,#0070FF
4776,#007229
7386,#0072BB
4150,#0072C6
3717,#0073CF
533,#007557
720,#0075BE
2380,#007806
1157,#007A5F
2207,#007ABD
360,#007AD2
4064,#007B48
1008,#007BA7
5526,#007CC2
5410,#007F00
8282,#007F00
246,#007F00
3164,#007F00
4114,#007FFF
